claims: 27; space: 165888 models

separated pairs whose ENTIRE truth-separation requires one knob off-base:
  {ADJ,BAL} split entirely by knob 'ident' (41472 separators)
  {ADJ,GCX} split entirely by knob 'adj' (27648 separators)
  {ADJ,NGL} split entirely by knob 'adj' (18432 separators)
  {ADJ,NOE} split entirely by knob 'adj' (55296 separators)
  {ADJ,NVE} split entirely by knob 'adj' (4608 separators)
  {ADJ,PR2} split entirely by knob 'adj' (9216 separators)
  {ADJ,PRO} split entirely by knob 'adj' (18432 separators)
  {ADJ,RAD} split entirely by knob 'adj' (55296 separators)
  {ADJ,RDW} split entirely by knob 'adj' (27648 separators)
  {ADJ,SWF} split entirely by knob 'adj' (36864 separators)
  {ADJ,SWP} split entirely by knob 'adj' (18432 separators)
  {ADJ,ZDW} split entirely by knob 'adj' (27648 separators)
  {BAL,CDC} split entirely by knob 'adj' (41472 separators)
  {CDC,GCX} split entirely by knob 'ident' (27648 separators)
  {CDC,NGL} split entirely by knob 'ident' (18432 separators)
  {CDC,NOE} split entirely by knob 'ident' (55296 separators)
  {CDC,NVE} split entirely by knob 'ident' (4608 separators)
  {CDC,PR2} split entirely by knob 'ident' (9216 separators)
  {CDC,PRO} split entirely by knob 'ident' (18432 separators)
  {CDC,RAD} split entirely by knob 'ident' (55296 separators)
  {CDC,RDW} split entirely by knob 'ident' (27648 separators)
  {CDC,SWF} split entirely by knob 'ident' (36864 separators)
  {CDC,SWP} split entirely by knob 'ident' (18432 separators)
  {CDC,ZDW} split entirely by knob 'ident' (27648 separators)
  {CRS,GCX} split entirely by knob 'basis_def' (18432 separators)
  {CRS,NGL} split entirely by knob 'basis_def' (18432 separators)
  {CRS,NOE} split entirely by knob 'basis_def' (55296 separators)
  {CRS,NVE} split entirely by knob 'basis_def' (4608 separators)
  {CRS,PR2} split entirely by knob 'basis_def' (9216 separators)
  {CRS,PRO} split entirely by knob 'basis_def' (18432 separators)
  {CRS,RAD} split entirely by knob 'basis_def' (36864 separators)
  {CRS,RDW} split entirely by knob 'basis_def' (18432 separators)
  {CRS,SWF} split entirely by knob 'basis_def' (36864 separators)
  {CRS,SWP} split entirely by knob 'basis_def' (18432 separators)
  {CRS,ZDW} split entirely by knob 'basis_def' (18432 separators)
  {D4C,NOE} split entirely by knob 'coeff' (9216 separators)
  {D4C,NVL} split entirely by knob 'norm' (12288 separators)
  {D4C,PHS} split entirely by knob 'lock' (4608 separators)
